starting scheduler on Core : 0
Task C2 on 0, Pri = 3, Tick = 0
Task C1 on 1, Pri = 2, Tick = 0
Task C0 on 1, Pri = 1, Tick = 0
Task C2 on 1, Pri = 3, Tick = 503
Task C1 on 0, Pri = 2, Tick = 506
Task C0 on 1, Pri = 1, Tick = 509
Task C2 on 1, Pri = 3, Tick = 1006
Task C1 on 0, Pri = 2, Tick = 1009
Task C0 on 1, Pri = 1, Tick = 1012
Task C2 on 1, Pri = 3, Tick = 1509
Task C1 on 0, Pri = 2, Tick = 1512
Task C0 on 1, Pri = 1, Tick = 1515
Task C2 on 1, Pri = 3, Tick = 2012
Task C1 on 0, Pri = 2, Tick = 2015
Task C0 on 1, Pri = 1, Tick = 2018
Task C2 on 1, Pri = 3, Tick = 2515
Task C1 on 0, Pri = 2, Tick = 2518
Task C0 on 1, Pri = 1, Tick = 2521
Task C2 on 1, Pri = 3, Tick = 3018
Task C1 on 0, Pri = 2, Tick = 3021
Task C0 on 1, Pri = 1, Tick = 3024
Task C2 on 1, Pri = 3, Tick = 3521
Task C1 on 0, Pri = 2, Tick = 3524
Task C0 on 1, Pri = 1, Tick = 3527
Task C2 on 1, Pri = 3, Tick = 4024
Task C1 on 0, Pri = 2, Tick = 4027
Task C0 on 1, Pri = 1, Tick = 4030
Task C2 on 1, Pri = 3, Tick = 4527
Task C1 on 0, Pri = 2, Tick = 4530
Task C0 on 1, Pri = 1, Tick = 4533
Task C2 on 1, Pri = 3, Tick = 5030
Task C1 on 0, Pri = 2, Tick = 5033
Task C0 on 1, Pri = 1, Tick = 5036
Task C2 on 1, Pri = 3, Tick = 5533
Task C1 on 0, Pri = 2, Tick = 5536
Task C0 on 1, Pri = 1, Tick = 5539
Task C2 on 1, Pri = 3, Tick = 6036
Task C1 on 0, Pri = 2, Tick = 6039
Task C0 on 1, Pri = 1, Tick = 6042
Task C2 on 1, Pri = 3, Tick = 6539
Task C1 on 0, Pri = 2, Tick = 6542
Task C0 on 1, Pri = 1, Tick = 6545
Task C2 on 1, Pri = 3, Tick = 7042
Task C1 on 0, Pri = 2, Tick = 7045
Task C0 on 1, Pri = 1, Tick = 7048
Task C2 on 1, Pri = 3, Tick = 7545
Task C1 on 0, Pri = 2, Tick = 7548
Task C0 on 1, Pri = 1, Tick = 7551
Task C2 on 1, Pri = 3, Tick = 8048
Task C1 on 0, Pri = 2, Tick = 8051
Task C0 on 1, Pri = 1, Tick = 8054
Task C2 on 1, Pri = 3, Tick = 8551
Task C1 on 0, Pri = 2, Tick = 8554
Task C0 on 1, Pri = 1, Tick = 8557
Task C2 on 1, Pri = 3, Tick = 9054
Task C1 on 0, Pri = 2, Tick = 9057
Task C0 on 1, Pri = 1, Tick = 9060
Task C2 on 1, Pri = 3, Tick = 9557
Task C1 on 0, Pri = 2, Tick = 9560
Task C0 on 1, Pri = 1, Tick = 9563
Task C2 on 1, Pri = 3, Tick = 10060
Task C1 on 0, Pri = 2, Tick = 10063
Task C0 on 1, Pri = 1, Tick = 10066
Task C2 on 1, Pri = 3, Tick = 10563
Task C1 on 0, Pri = 2, Tick = 10566
Task C0 on 1, Pri = 1, Tick = 10569
Task C2 on 1, Pri = 3, Tick = 11066
Task C1 on 0, Pri = 2, Tick = 11069
Task C0 on 1, Pri = 1, Tick = 11072
Task C2 on 1, Pri = 3, Tick = 11569
Task C1 on 0, Pri = 2, Tick = 11572
Task C0 on 1, Pri = 1, Tick = 11575
Task C2 on 1, Pri = 3, Tick = 12072
Task C1 on 0, Pri = 2, Tick = 12075
Task C0 on 1, Pri = 1, Tick = 12078
Task C2 on 1, Pri = 3, Tick = 12575
Task C1 on 0, Pri = 2, Tick = 12578
Task C0 on 1, Pri = 1, Tick = 12581
Task C2 on 1, Pri = 3, Tick = 13078
Task C1 on 0, Pri = 2, Tick = 13081
Task C0 on 1, Pri = 1, Tick = 13084
Task C2 on 1, Pri = 3, Tick = 13581
Task C1 on 0, Pri = 2, Tick = 13584
Task C0 on 1, Pri = 1, Tick = 13587
Task C2 on 1, Pri = 3, Tick = 14084
